county_fips,county_name,state_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,max,tmax,total_li_workers_employed,low_income_worker_job_loss_rate
24001,Allegany County,Maryland,1662,-1.5,-8.3,-2.8,8.5,115.1,2.6,-49.3,11.5,36.9,5.3,15.2,16.8,27.3,85.7,220.8,289.9,88.2,641.6,54.4,104.2,750,100,26350,0.06308
24003,Anne Arundel County,Maryland,16947,0,-0.9,-29.9,147.2,555.6,-45.2,346.2,725.7,482.8,52.9,210.9,585.4,288.3,1453.5,1822.3,1867.3,1748.2,5139.9,1156.4,440.1,10000,100,253863,0.06675
24005,Baltimore County,Maryland,25270,0,-3.1,-98.9,167.9,964.2,-2.8,162.6,559.4,669.9,39.6,350.7,684.9,493.3,2454.6,3494.7,3524.5,2440.7,7185.3,1252.4,930.2,10000,100,399047,0.06333
24009,Calvert County,Maryland,2041,-0.2,-1,-38.4,33.3,50.2,-16.4,-85.4,94.9,25.6,4.9,17.9,67.5,29.3,130.7,281.4,288.6,167.9,753.8,136.8,100.3,1000,100,34667,0.05889
24011,Caroline County,Maryland,918,-0.2,-0,-18,10.8,68.6,-4.2,0.9,4.7,16.4,2.2,6.6,16.7,11.5,47.4,125.9,121.9,86,316.1,49.3,55.7,500,100,16237,0.05656
24013,Carroll County,Maryland,4935,-2,-2.3,-10.2,61.8,268.9,27.7,-107.1,161,93.4,7.9,57.8,140.8,89.6,372.2,673.9,705.4,489.8,1446.3,270.6,189.3,2000,100,85622,0.05764
24015,Cecil County,Maryland,2677,-1.2,-8.4,-19.2,26.8,187.3,-6.6,-54.8,43.3,44,24,33.8,34.7,64,194,309.8,370.5,330.3,918.2,93.7,93.1,1000,100,45494,0.05885
24017,Charles County,Maryland,4781,0,1.1,-31.4,41.9,82.8,14.1,46.2,368.9,155.4,10.6,39.1,137.7,70.2,426.8,494.4,550.8,312.7,1597.9,309.9,151.7,2000,100,68102,0.0702
24019,Dorchester County,Maryland,989,-0.1,-0,-10.4,7.6,87.8,-3.8,0.8,4.5,14.3,2.3,7.3,14.2,16.4,46.5,96,154.4,93.6,365.2,44.4,48.5,500,100,15629,0.06331
24021,Frederick County,Maryland,7315,-0.3,-13.3,-24.8,79.9,297.1,-13.1,-103.9,113.7,175.1,30.8,59.3,202.3,143.1,565.5,1094.8,950.5,672.9,2385.6,459.3,240.9,5000,100,122312,0.05981
24023,Garrett County,Maryland,729,-2.7,-11.9,-2.1,6.2,44.9,1.4,-24.8,6.4,16.5,1.6,16.7,7.7,21.6,34.1,85.4,112.5,74.8,275.2,24.2,41.4,500,100,12050,0.06049
24025,Harford County,Maryland,7123,-1.6,-3.6,-24,66.3,343.6,-20.4,-120.5,211,220.6,15.5,96.2,186.5,118.9,592.8,941.5,935.2,766.8,2193.6,376.9,227.4,5000,100,118975,0.05987
24027,Howard County,Maryland,9469,0,0.3,-123.2,52.6,226.6,-39.5,151.3,151.7,337.6,25,116.1,440,252.6,1022.7,1419,1087.9,1031,2587.4,513.8,215.7,5000,100,147000,0.06441
24029,Kent County,Maryland,535,-0.1,-0,-3.2,3.9,42.9,-1.9,0.4,1.3,4.8,1.4,3.5,7.5,11.1,25.7,82.5,68.2,82.7,158.5,22.7,23.3,250,100,8175,0.06547
24031,Montgomery County,Maryland,32715,-0.7,-3.1,-28.9,161.1,606.5,28.5,513.6,879.1,1150,92.8,444.1,1261.1,710.9,3003.5,4028.8,3879,2535.5,9544.8,3271.4,636.8,10000,150,445508,0.07343
24033,Prince George's County,Maryland,30373,-0.3,-3.3,-52.1,175.1,501.2,3.5,349.9,1604.5,784.6,54.2,351.9,804.4,405.4,3218,3097.5,3816.7,2090.6,10240.9,2072.8,857.2,275000,100,400732,0.07579
24035,Queen Anne's County,Maryland,1483,-0.2,-0.1,-12.8,16.4,73.3,-6.9,1.1,4,20.9,3.6,10.4,34.5,18.2,72.9,176,173.1,187.5,545.7,84.7,80,750,100,23491,0.06312
24037,St. Mary's County,Maryland,2572,-0.3,-1.2,-34.2,34.1,53.4,-15.9,-105.2,170.3,33.7,6.2,20.9,147.4,36.7,152.8,329.5,362.3,182.8,946.9,160.2,91.2,1000,100,44089,0.05833
24039,Somerset County,Maryland,657,-0.3,0,-1,3.6,134.5,-0.2,3.2,10.3,8.5,0.8,4.4,7.5,7.8,27.6,83.7,82.3,40.7,184.3,24.5,34.5,250,100,8515,0.07713
24041,Talbot County,Maryland,1125,-0.1,-0,-9.9,9,47.8,-3.7,0.8,3.3,18,2.5,9.1,22.7,20.2,61.9,109.1,165.9,127.7,423,64.8,53,500,100,17027,0.06607
24043,Washington County,Maryland,4144,-0.6,14.1,-7.2,35.8,573.8,3.2,31.8,-115.7,70.4,33.1,42.4,81.2,65.6,344.4,440.6,625.8,333.3,1223.5,168.9,179.2,2000,100,66670,0.06215
24045,Wicomico County,Maryland,3866,-0.9,-0.8,-8.8,18.9,1041.3,-0.8,15,60.1,45.2,5.4,24.5,43.6,79.1,171.3,408.7,415.6,190,1096.2,140.4,121.6,2000,150,44984,0.08593
24047,Worcester County,Maryland,2263,-0.3,-0.9,-2.4,10,296.4,-0.3,8.3,21.6,25.9,2.6,21.2,21.8,26.7,72.4,164.1,147.1,233.5,1062.6,71.9,81.3,2000,150,22916,0.09877
24510,Baltimore city,Maryland,18340,0,-0.4,-24.6,69.9,545.6,28.1,128,540.1,491.2,35.5,247.6,397,241.1,2435.5,2217,2461.7,1785,5143.3,926.9,671.7,10000,100,249913,0.07339
